"Player ID",Salutation,"Full Name",Mobile,Email,Address,Category,Role,Experience,"Batting Type","Bowling Type","Jersey Nickname","Jersey Number","Jersey Size","Track Pant Size","Matches Played",Innings,"Runs Scored","Highest Score","Batting Avg","Strike Rate",Fifties,Hundreds,Wickets,"Bowling Avg",Economy,"Best Bowling",Catches,Stumpings
SPL2-011,Ms.,Aishwarya,9876543011,aishwarya11@sandalwoodspl.com,"HSR Layout, Bengaluru","Female Celebrities",All-rounder,"Club Level","Right Hand","Right Arm Medium",Aishwarya,11,L,32,18,17,629,75,41.93,128.90,2,0,14,28.37,7.29,4/26,10,0
SPL2-012,Ms.,"Aisiri Sharma",9876543012,aisirisharma12@sandalwoodspl.com,"Vijayanagar, Bengaluru","Female Celebrities",All-rounder,Advanced,"Right Hand","Left Arm Spin",Aisiri,12,XL,34,26,25,725,83,34.52,140.30,2,0,20,28.15,8.55,4/19,9,0
SPL2-013,Mr.,"Ajay Joshi",9876543013,ajayjoshi13@sandalwoodspl.com,"BTM Layout, Bengaluru",Employees,Batsman,Intermediate,"Left Hand","Right Arm Off Spin",Ajay,13,XXL,36,19,17,646,81,64.60,130.55,2,0,4,32.21,10.29,1/14,9,0
SPL2-014,Mr.,"Akshith Shetty",9876543014,akshithshetty14@sandalwoodspl.com,"Yelahanka, Bengaluru",Celebrities,All-rounder,Professional,"Right Hand","Leg Spin",Akshith,14,L,38,24,20,580,78,41.43,154.63,1,0,18,29.06,7.93,4/19,13,0
SPL2-015,Mr.,Ambreesh,9876543015,ambreesh15@sandalwoodspl.com,"Indiranagar, Bengaluru",Celebrities,All-rounder,"Club Level","Right Hand","Right Arm Fast",Ambreesh,15,M,30,33,28,1036,79,41.44,127.75,3,1,31,28.69,7.83,3/15,9,0
SPL2-016,Mr.,"Anand Sharma",9876543016,anandsharma16@sandalwoodspl.com,"Rajajinagar, Bengaluru",Directors,"Wicket Keeper",Advanced,"Right Hand","Right Arm Medium",Anand,16,L,32,21,20,500,71,29.41,154.97,1,0,0,0.00,0.00,-,17,14
SPL2-017,Mr.,"Anil babu N S",9876543017,anilbabuns17@sandalwoodspl.com,"Jayanagar, Bengaluru",Media,Batsman,Intermediate,"Left Hand","Left Arm Spin",Anil,17,XL,34,12,10,350,111,70.00,128.81,1,0,4,41.60,8.17,1/14,10,0
SPL2-018,Mr.,"Anil kumarV",9876543018,anilkumarv18@sandalwoodspl.com,"Malleshwaram, Bengaluru",Media,All-rounder,Professional,"Right Hand","Right Arm Off Spin",Anil,18,XXL,36,16,16,496,93,38.15,141.73,1,0,11,21.24,7.16,2/24,8,0
SPL2-019,Mr.,"Anilkumar V",9876543019,anilkumarv19@sandalwoodspl.com,"Koramangala, Bengaluru",Media,All-rounder,"Club Level","Right Hand","Leg Spin",Anilkumar,19,L,38,28,28,700,94,29.17,141.13,2,0,26,21.31,7.17,4/19,7,0
SPL2-020,Ms.,Anuprema,9876543020,anuprema20@sandalwoodspl.com,"Whitefield, Bengaluru","Female Celebrities",All-rounder,Advanced,"Right Hand","Right Arm Fast",Anuprema,20,M,30,32,32,736,75,24.53,154.34,2,0,38,23.11,9.08,3/15,6,0
SPL2-021,Mr.,"Aqil Puttur",9876543021,aqilputtur21@sandalwoodspl.com,"Banashankari, Bengaluru",Directors,All-rounder,Intermediate,"Left Hand","Right Arm Medium",Aqil,21,L,32,23,16,352,73,29.33,131.32,1,0,17,26.53,7.90,2/24,7,0
SPL2-022,Mr.,"Arjun Gowda",9876543022,arjungowda22@sandalwoodspl.com,"Nagarbhavi, Bengaluru",Employees,Bowler,Professional,"Right Hand","Left Arm Spin",Arjun,22,XL,34,34,28,364,19,14.00,90.13,0,0,52,20.69,7.44,3/22,10,0
SPL2-023,Mr.,"Arjun Joshi",9876543023,arjunjoshi23@sandalwoodspl.com,"JP Nagar, Bengaluru",Guests,All-rounder,"Club Level","Right Hand","Right Arm Off Spin",Arjun,23,XXL,36,28,27,621,89,25.88,125.20,2,0,30,30.92,8.08,3/15,7,0
SPL2-024,Mr.,"Arjun Kannadiga",9876543024,arjunkannadiga24@sandalwoodspl.com,"Basavanagudi, Bengaluru",Directors,Batsman,Advanced,"Right Hand","Leg Spin",Arjun,24,L,38,23,20,700,109,58.33,138.06,2,0,5,37.08,9.18,1/26,5,0
SPL2-025,Mr.,"Arjun Kulkarni",9876543025,arjunkulkarni25@sandalwoodspl.com,"Sadashivanagar, Bengaluru",Guests,"Wicket Keeper",Intermediate,"Left Hand","Right Arm Fast",Arjun,25,M,30,35,34,1360,79,48.57,146.94,5,1,0,0.00,0.00,-,25,5
SPL2-026,Mr.,"Arjun Naik",9876543026,arjunnaik26@sandalwoodspl.com,"HSR Layout, Bengaluru",Guests,"Wicket Keeper",Professional,"Right Hand","Right Arm Medium",Arjun,26,L,32,22,19,665,86,51.15,130.59,2,0,0,0.00,0.00,-,14,5
SPL2-027,Mr.,"Arjun Rao",9876543027,arjunrao27@sandalwoodspl.com,"Vijayanagar, Bengaluru",Guests,All-rounder,"Club Level","Right Hand","Left Arm Spin",Arjun,27,XL,34,24,23,759,69,37.95,135.82,2,0,26,28.25,7.83,3/28,8,0
SPL2-028,Mr.,"Arjun Rao",9876543028,arjunrao28@sandalwoodspl.com,"BTM Layout, Bengaluru",Directors,Bowler,Advanced,"Right Hand","Right Arm Off Spin",Arjun,28,XXL,36,15,10,160,42,32.00,93.93,0,0,15,20.11,7.39,5/31,7,0
SPL2-029,Mr.,"Arjun Rao",9876543029,arjunrao29@sandalwoodspl.com,"Yelahanka, Bengaluru",Guests,All-rounder,Intermediate,"Left Hand","Leg Spin",Arjun,29,L,38,30,28,896,91,35.84,138.72,2,0,29,26.54,7.14,4/26,7,0
SPL2-030,Mr.,"Arjun Sharma",9876543030,arjunsharma30@sandalwoodspl.com,"Indiranagar, Bengaluru",Employees,"Wicket Keeper",Professional,"Right Hand","Right Arm Fast",Arjun,30,M,30,25,24,792,97,41.68,147.41,3,0,0,0.00,0.00,-,28,6
SPL2-031,Mr.,"Arjun Shetty",9876543031,arjunshetty31@sandalwoodspl.com,"Rajajinagar, Bengaluru",Employees,Bowler,"Club Level","Right Hand","Right Arm Medium",Arjun,31,L,32,14,14,196,41,19.60,103.97,0,0,19,23.44,7.24,1/12,10,0
SPL2-032,Mr.,"Arun Kumar DS",9876543032,arunkumards32@sandalwoodspl.com,"Jayanagar, Bengaluru",Celebrities,All-rounder,Advanced,"Right Hand","Left Arm Spin",Arun,32,XL,34,19,17,629,62,52.42,145.16,2,0,10,25.27,8.57,3/28,8,0
SPL2-033,Ms.,"Arya Gowda",9876543033,aryagowda33@sandalwoodspl.com,"Malleshwaram, Bengaluru","Female Celebrities",All-rounder,Intermediate,"Left Hand","Right Arm Off Spin",Arya,33,XXL,36,15,13,364,77,40.44,152.64,1,0,16,21.25,7.02,4/19,12,0
SPL2-034,Mr.,"ashwin babu",9876543034,ashwinbabu34@sandalwoodspl.com,"Koramangala, Bengaluru",Celebrities,Batsman,Professional,"Right Hand","Leg Spin",ashwin,34,L,38,27,26,1092,102,54.60,156.74,4,1,0,0.00,0.00,-,15,0
SPL2-035,Mr.,Avinash,9876543035,avinash35@sandalwoodspl.com,"Whitefield, Bengaluru",Celebrities,All-rounder,"Club Level","Right Hand","Right Arm Fast",Avinash,35,M,30,38,36,1044,66,32.63,147.27,3,0,14,20.48,8.56,3/22,16,0
SPL2-036,Mr.,"Balaji Madhavashetty",9876543036,balajimadhavashetty36@sandalwoodspl.com,"Banashankari, Bengaluru",Producers,All-rounder,Advanced,"Right Hand","Right Arm Medium",Balaji,36,L,32,12,9,324,84,81.00,152.45,1,0,12,25.47,6.91,3/28,15,0
SPL2-037,Mr.,"Bhajarangi ravi",9876543037,bhajarangiravi37@sandalwoodspl.com,"Nagarbhavi, Bengaluru",Celebrities,All-rounder,Intermediate,"Left Hand","Left Arm Spin",Bhajarangi,37,XL,34,24,22,506,66,28.11,142.30,1,0,16,22.03,8.04,2/24,14,0
SPL2-038,Mr.,"Bharath Kumar K",9876543038,bharathkumark38@sandalwoodspl.com,"JP Nagar, Bengaluru",Media,All-rounder,Professional,"Right Hand","Right Arm Off Spin",Bharath,38,XXL,36,18,16,592,82,45.54,159.09,1,0,20,22.99,8.69,4/26,12,0
SPL2-039,Mr.,"Bharath SN",9876543039,bharathsn39@sandalwoodspl.com,"Basavanagudi, Bengaluru",Media,All-rounder,"Club Level","Right Hand","Leg Spin",Bharath,39,L,38,21,20,660,73,38.82,138.28,2,0,18,25.34,8.50,3/22,10,0
SPL2-040,Ms.,"Bharathi nc",9876543040,bharathinc40@sandalwoodspl.com,"Sadashivanagar, Bengaluru","Female Celebrities",All-rounder,Advanced,"Right Hand","Right Arm Fast",Bharathi,40,M,30,26,18,450,61,28.13,142.14,1,0,10,29.90,8.48,3/22,7,0
SPL2-041,Mr.,"Bhargav KM",9876543041,bhargavkm41@sandalwoodspl.com,"HSR Layout, Bengaluru",Directors,All-rounder,Intermediate,"Left Hand","Right Arm Medium",Bhargav,41,L,32,16,14,476,58,43.27,159.40,1,0,12,28.09,7.49,4/19,15,0
SPL2-042,Mr.,"Bhavesh Joshi",9876543042,bhaveshjoshi42@sandalwoodspl.com,"Vijayanagar, Bengaluru",Guests,"Wicket Keeper",Professional,"Right Hand","Left Arm Spin",Bhavesh,42,XL,34,15,12,360,90,72.00,149.07,1,0,0,0.00,0.00,-,19,14
SPL2-043,Mr.,"Bhuvan Chandra",9876543043,bhuvanchandra43@sandalwoodspl.com,"BTM Layout, Bengaluru",Celebrities,All-rounder,"Club Level","Right Hand","Right Arm Off Spin",Bhuvan,43,XXL,36,21,19,418,80,26.13,150.85,1,0,15,22.50,7.94,4/26,15,0
SPL2-044,Mr.,"C S Karthik",9876543044,cskarthik44@sandalwoodspl.com,"Yelahanka, Bengaluru",Directors,All-rounder,Advanced,"Right Hand","Leg Spin",C,44,L,38,38,34,748,66,23.38,158.66,2,0,45,28.57,8.19,3/22,11,0
SPL2-045,Mr.,"Chandan bv",9876543045,chandanbv45@sandalwoodspl.com,"Indiranagar, Bengaluru",Media,All-rounder,Intermediate,"Left Hand","Right Arm Fast",Chandan,45,M,30,37,37,888,67,26.91,128.00,2,0,31,27.65,8.75,2/24,11,0
SPL2-046,Ms.,"CHANDANA N G",9876543046,chandanang46@sandalwoodspl.com,"Rajajinagar, Bengaluru","Female Celebrities",All-rounder,Professional,"Right Hand","Right Arm Medium",CHANDANA,46,L,32,17,12,276,76,46.00,154.06,0,0,20,26.59,7.49,3/28,7,0
SPL2-047,Mr.,"Chetan Joshi",9876543047,chetanjoshi47@sandalwoodspl.com,"Jayanagar, Bengaluru",Directors,Bowler,"Club Level","Right Hand","Left Arm Spin",Chetan,47,XL,34,20,19,247,28,16.47,107.33,0,0,23,19.38,6.38,5/22,12,0
SPL2-048,Mr.,"Chethan kumar",9876543048,chethankumar48@sandalwoodspl.com,"Malleshwaram, Bengaluru",Celebrities,All-rounder,Advanced,"Right Hand","Right Arm Off Spin",Chethan,48,XXL,36,18,12,360,71,40.00,125.79,1,0,14,29.27,7.79,3/22,16,0
SPL2-049,Mr.,"Chikkanna R",9876543049,chikkannar49@sandalwoodspl.com,"Koramangala, Bengaluru",Producers,All-rounder,Intermediate,"Left Hand","Leg Spin",Chikkanna,49,L,38,22,19,646,66,38.00,137.20,2,0,16,29.54,6.97,2/18,11,0
SPL2-050,Mr.,"Darshan Rao",9876543050,darshanrao50@sandalwoodspl.com,"Whitefield, Bengaluru",Directors,Bowler,Professional,"Right Hand","Right Arm Fast",Darshan,50,M,30,20,18,180,18,12.00,107.10,0,0,19,18.85,6.70,1/12,8,0
